,YYYYMMDD,HHMMSS,MNG_NO,CPU,MEM,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6,TEMP7,TEMP8,TEMP9,TEMP10,TEMP11,TEMP12,TEMP13,TEMP14,TEMP15,TEMP16,TEMP17,TEMP18,TEMP19,TEMP20,TEMP21,TEMP22
43,20190502,33500,218,10,21.79,35,33,35,40,33,48,32,65,49,67,55,55,69,32,35,42,34,64,65,43,38,53
44,20190502,34000,218,10,21.79,35,33,35,40,33,48,32,65,49,67,55,55,69,32,35,42,34,64,65,43,38,53
45,20190502,34500,218,10,21.79,35,33,35,40,33,48,32,65,49,67,55,55,68,32,35,42,34,64,64,43,38,53
46,20190502,35000,218,10,21.79,35,33,35,40,33,48,32,65,49,67,55,55,68,32,35,42,34,64,65,43,38,53
47,20190502,35500,218,10,21.79,35,33,35,40,33,48,32,65,49,67,55,55,68,32,35,42,34,64,65,43,38,53
48,20190502,40000,218,10,21.79,35,33,35,40,33,48,32,65,49,67,55,55,68,32,35,42,34,64,65,43,38,53
49,20190502,40500,218,10,21.79,35,33,35,40,33,48,32,65,49,67,55,55,68,32,35,42,34,64,65,43,38,53
50,20190502,41000,218,10,21.79,35,33,35,40,33,48,32,65,49,67,55,55,68,32,35,42,34,64,65,43,38,53
51,20190502,41500,218,10,21.78,35,33,35,40,33,48,32,65,49,67,55,55,68,32,35,42,34,64,65,43,38,53
52,20190502,42000,218,10,21.78,35,33,35,40,33,48,32,65,49,67,55,55,68,32,35,42,34,64,64,43,38,53
53,20190502,42500,218,10,21.78,35,33,35,40,33,48,32,65,49,67,55,55,68,32,35,42,34,64,65,43,38,53
54,20190502,43000,218,9,21.78,36,34,35,40,34,48,32,65,49,67,55,55,69,32,35,42,34,64,65,43,39,54
55,20190502,43500,218,10,21.78,36,34,36,40,34,48,32,66,50,67,55,55,69,33,36,43,35,64,65,44,39,54
56,20190502,44000,218,10,21.78,36,34,36,41,34,48,33,66,50,68,56,56,70,33,36,43,35,64,65,44,39,54
57,20190502,44500,218,10,21.78,37,34,36,41,34,49,33,67,50,68,56,56,70,33,36,43,35,66,66,44,39,54
58,20190502,45000,218,10,21.78,37,35,36,41,35,49,33,67,51,68,56,56,70,33,36,43,35,66,66,44,39,55
59,20190502,45500,218,10,21.78,37,35,37,41,35,49,33,67,51,69,56,56,71,33,36,44,35,66,66,44,40,55
60,20190502,50000,218,10,21.78,37,35,37,42,35,49,34,67,51,69,56,56,71,34,37,44,36,66,66,45,40,55
61,20190502,50500,218,10,21.78,37,35,37,42,35,49,34,68,51,69,57,57,71,34,37,44,36,66,66,45,40,55
62,20190502,51000,218,10,21.78,38,35,37,42,35,49,34,68,51,69,57,57,71,34,37,44,36,66,67,45,40,55
63,20190502,51500,218,10,21.78,38,36,37,42,35,50,34,68,51,69,57,57,71,34,37,44,36,66,67,45,40,55
64,20190502,52000,218,10,21.78,38,36,37,42,36,50,34,68,51,70,57,57,71,34,37,44,36,66,67,45,40,56
65,20190502,52500,218,10,21.78,38,36,38,42,36,50,34,68,51,70,57,57,71,34,37,44,36,66,67,45,40,55
66,20190502,53000,218,10,21.78,38,36,38,42,36,50,34,68,52,70,57,57,71,34,37,44,36,66,67,45,40,55
67,20190502,53500,218,10,21.78,38,36,38,42,36,50,34,68,52,70,57,57,71,34,37,45,36,66,67,46,41,56
68,20190502,54000,218,10,21.78,38,36,38,42,36,50,34,68,52,70,57,57,71,34,37,45,36,66,67,46,41,56
69,20190502,54500,218,10,21.78,38,36,38,42,36,50,34,68,52,70,57,57,71,34,37,45,36,66,67,46,41,56
70,20190502,55000,218,9,21.78,38,36,37,42,36,50,34,68,51,69,57,57,71,34,37,44,36,66,67,45,40,55
71,20190502,55500,218,10,21.78,37,36,37,42,35,49,34,68,51,69,57,57,71,34,37,44,36,66,67,45,40,55
72,20190502,60000,218,10,21.78,37,35,37,42,35,49,34,68,51,69,57,57,71,34,37,44,36,66,67,45,40,55
73,20190502,60500,218,10,21.78,37,35,37,42,35,49,33,67,51,69,57,57,71,33,36,44,36,66,66,45,40,55
74,20190502,61000,218,10,21.78,37,35,36,41,35,49,33,67,51,69,56,56,71,33,36,44,35,66,66,45,40,55
75,20190502,61500,218,10,21.78,37,35,36,41,35,49,33,67,51,69,56,56,70,33,36,43,35,66,66,44,39,55
76,20190502,62000,218,10,21.78,37,35,36,41,35,49,33,67,51,69,56,56,70,33,36,43,35,66,66,44,39,55
77,20190502,62500,218,10,21.78,37,35,36,41,35,49,33,67,50,69,56,56,70,33,36,43,35,66,66,44,39,54
78,20190502,63000,218,10,21.78,37,35,36,41,34,49,33,67,50,68,56,56,70,33,36,43,35,66,66,44,39,54
79,20190502,63500,218,11,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
80,20190502,64000,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
81,20190502,64500,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
82,20190502,65000,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,64,65,44,39,54
83,20190502,65500,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
84,20190502,70000,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
85,20190502,70500,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
86,20190502,71000,218,10,21.78,36,34,36,41,34,48,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
87,20190502,71500,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
88,20190502,72000,218,10,21.78,36,34,36,41,34,49,33,66,50,69,56,56,70,33,36,43,35,66,66,44,39,54
89,20190502,72500,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
90,20190502,73000,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
91,20190502,73500,218,10,21.78,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
92,20190502,74000,218,10,21.77,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
93,20190502,74500,218,10,21.77,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
94,20190502,75000,218,10,21.77,36,34,36,41,34,49,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
95,20190502,75500,218,10,21.77,36,34,36,41,34,48,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
96,20190502,80000,218,10,21.77,36,34,36,41,34,48,33,66,50,68,56,56,70,33,36,43,35,66,66,44,39,54
