,YYYYMMDD,HHMMSS,MNG_NO,CPU,MEM,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6,TEMP7,TEMP8,TEMP9,TEMP10,TEMP11,TEMP12,TEMP13,TEMP14,TEMP15,TEMP16,TEMP17,TEMP18,TEMP19,TEMP20,TEMP21,TEMP22
43,20180615,33500,218,10,23.33,32,30,32,37,30,45,28,62,46,64,53,53,65,30,33,39,31,62,62,40,35,50
44,20180615,34000,218,9,23.33,32,30,32,37,30,45,28,62,46,63,53,53,65,30,33,39,31,62,62,40,35,51
45,20180615,34500,218,10,23.33,32,30,32,37,30,45,28,62,46,64,53,53,65,30,33,39,31,62,62,40,35,50
46,20180615,35000,218,9,23.33,32,30,32,37,30,45,28,62,46,64,53,53,65,30,33,39,31,62,62,40,36,50
47,20180615,35500,218,10,23.33,32,30,32,37,30,45,28,62,46,64,53,53,65,30,33,39,31,62,62,40,36,51
48,20180615,40000,218,9,23.31,32,30,32,37,30,45,28,62,46,64,53,53,65,30,33,39,31,60,61,40,36,51
49,20180615,40500,218,10,23.31,32,30,32,37,30,45,28,62,46,64,53,53,65,30,33,39,31,62,62,40,36,51
50,20180615,41000,218,9,23.33,32,30,32,37,30,45,28,62,46,64,53,53,65,30,33,39,31,60,61,40,36,51
51,20180615,41500,218,10,23.33,32,30,32,37,30,45,28,62,46,64,53,53,65,30,33,39,31,62,62,40,36,51
52,20180615,42000,218,9,23.33,32,30,32,37,30,45,28,62,46,64,53,53,65,30,33,39,31,60,61,40,35,50
53,20180615,42500,218,10,23.33,32,30,32,37,29,45,28,62,46,63,52,52,65,30,33,39,30,60,61,40,35,50
54,20180615,43000,218,9,23.33,31,29,31,36,29,45,28,61,46,63,52,52,65,30,32,39,30,60,61,40,35,50
55,20180615,43500,218,9,23.33,31,29,31,36,29,44,27,61,45,63,52,52,64,29,32,39,30,0,0,40,35,50
56,20180615,44000,218,9,23.33,31,29,31,36,29,44,27,61,45,62,52,52,64,29,32,38,30,0,0,39,34,49
57,20180615,44500,218,9,23.33,31,29,31,36,29,44,27,60,45,62,51,51,64,29,32,38,29,0,0,39,34,49
58,20180615,45000,218,9,23.33,30,28,31,35,28,44,27,60,45,62,51,51,63,29,32,38,29,0,0,39,34,49
59,20180615,45500,218,9,23.33,30,28,30,35,28,43,27,60,44,62,51,51,63,28,31,38,29,0,0,39,34,49
60,20180615,50000,218,9,23.33,30,28,30,35,28,43,26,60,44,62,51,51,63,28,31,38,29,58,59,39,34,49
61,20180615,50500,218,10,23.33,30,28,30,35,28,43,26,60,44,62,51,51,63,28,31,37,29,58,59,38,34,49
62,20180615,51000,218,9,23.33,30,28,30,35,28,43,26,60,44,62,51,51,63,28,31,37,29,0,0,38,33,48
63,20180615,51500,218,9,23.33,30,28,30,35,28,43,26,60,44,61,51,51,63,28,31,37,29,58,59,38,33,48
64,20180615,52000,218,9,23.31,30,28,30,35,28,43,27,60,44,62,51,51,63,28,31,37,29,0,0,38,34,48
65,20180615,52500,218,10,23.31,30,28,30,35,28,43,27,60,44,62,51,51,63,29,31,38,29,58,59,39,34,49
66,20180615,53000,218,10,23.33,30,28,30,35,28,44,27,60,44,62,51,51,63,29,32,38,29,0,0,39,34,49
67,20180615,53500,218,10,23.33,31,29,31,35,29,44,27,60,45,62,51,51,64,29,32,38,29,0,0,39,34,49
68,20180615,54000,218,9,23.33,31,29,31,36,29,44,27,60,45,62,51,51,64,29,32,38,30,60,61,39,34,49
69,20180615,54500,218,9,23.33,31,29,31,36,29,44,27,61,45,62,51,51,64,29,32,38,30,60,61,39,34,49
70,20180615,55000,218,9,23.33,31,29,31,36,29,44,27,61,45,63,52,52,64,29,32,38,30,0,0,39,35,50
71,20180615,55500,218,9,23.33,31,29,31,36,29,44,28,61,45,63,52,52,64,29,32,38,30,0,0,39,35,50
72,20180615,60000,218,9,23.33,31,29,31,36,29,44,28,61,45,63,52,52,65,29,32,39,30,60,61,40,35,50
73,20180615,60500,218,9,23.33,31,29,31,36,29,44,28,61,46,63,52,52,65,30,32,39,30,60,61,40,35,50
74,20180615,61000,218,9,23.33,31,29,31,36,29,45,28,61,46,63,52,52,65,30,33,39,30,60,61,40,35,50
75,20180615,61500,218,9,23.33,32,29,31,36,29,45,28,62,46,63,52,52,65,30,33,39,30,60,61,40,35,50
76,20180615,62000,218,9,23.33,32,30,32,37,30,45,28,62,46,63,52,52,65,30,33,39,30,60,61,40,35,50
77,20180615,62500,218,10,23.33,32,30,32,37,30,45,28,62,46,63,53,52,65,30,33,39,31,60,61,40,35,50
78,20180615,63000,218,10,23.33,32,30,32,37,30,45,28,62,46,63,53,53,65,30,33,39,31,62,62,40,35,50
79,20180615,63500,218,10,23.33,32,30,32,37,30,45,28,62,46,63,53,53,65,30,33,39,30,60,61,40,35,50
80,20180615,64000,218,9,23.31,31,29,31,36,29,45,28,62,46,63,52,52,65,30,33,39,30,60,61,40,35,50
